Date,Match,Result,Score,Competition
25 Feb 1940,Brazil v Argentina,L,0-3,Copa Julio Roca
05 Mar 1940,Argentina v Brazil,L,6-1,Copa Julio Roca
10 Mar 1940,Argentina v Brazil,W,2-3,Copa Julio Roca
17 Mar 1940,Argentina v Brazil,L,5-1,Copa Julio Roca
24 Mar 1940,Brazil v Uruguay,L,3-4,Copa Rio Branco
31 Mar 1940,Brazil v Uruguay,D,1-1,Copa Rio Branco
14 Jan 1942,Brazil v Chile,W,6-1,Copa America
17 Jan 1942,Argentina v Brazil,L,2-1,Copa America
21 Jan 1942,Brazil v Peru,W,2-1,Copa America
24 Jan 1942,Uruguay v Brazil,L,1-0,Copa America
31 Jan 1942,Brazil v Ecuador,W,5-1,Copa America
05 Feb 1942,Brazil v Paraguay,D,1-1,Copa America
14 May 1944,Brazil v Uruguay,W,6-1,International Friendly
17 May 1944,Brazil v Uruguay,W,4-0,International Friendly
21 Jan 1945,Brazil v Colombia,W,3-0,Copa America
28 Jan 1945,Brazil v Bolivia,W,2-0,Copa America
07 Feb 1945,Brazil v Uruguay,W,3-0,Copa America
15 Feb 1945,Argentina v Brazil,L,3-1,Copa America
21 Feb 1945,Brazil v Ecuador,W,9-2,Copa America
28 Feb 1945,Chile v Brazil,W,0-1,Copa America
16 Dec 1945,Brazil v Argentina,L,3-4,Copa Julio Roca
20 Dec 1945,Brazil v Argentina,W,6-2,Copa Julio Roca
23 Dec 1945,Brazil v Argentina,W,3-1,Copa Julio Roca
05 Jan 1946,Uruguay v Brazil,L,4-3,Copa Rio Branco
09 Jan 1946,Uruguay v Brazil,D,1-1,Copa Rio Branco
16 Jan 1946,Brazil v Bolivia,W,3-0,Copa America
23 Jan 1946,Brazil v Uruguay,W,4-3,Copa America
29 Jan 1946,Brazil v Paraguay,D,1-1,Copa America
03 Feb 1946,Brazil v Chile,W,5-1,Copa America
10 Feb 1946,Argentina v Brazil,L,2-0,Copa America
29 Mar 1947,Uruguay v Brazil,D,0-0,Copa Rio Branco
01 Apr 1947,Brazil v Uruguay,W,3-2,Copa Rio Branco
04 Apr 1947,Uruguay v Brazil,D,1-1,Copa Rio Branco
11 Apr 1948,Uruguay v Brazil,L,4-2,Copa Rio Branco
03 Apr 1949,Brazil v Ecuador,W,9-1,Copa America
10 Apr 1949,Brazil v Bolivia,W,10-1,Copa America
13 Apr 1949,Brazil v Chile,W,2-1,Copa America
17 Apr 1949,Brazil v Colombia,W,5-0,Copa America
24 Apr 1949,Brazil v Peru,W,7-1,Copa America
30 Apr 1949,Brazil v Uruguay,W,5-1,Copa America
08 May 1949,Brazil v Paraguay,L,1-2,Copa America
11 May 1949,Brazil v Paraguay,W,7-0,Copa America
06 May 1950,Brazil v Uruguay,L,3-4,Copa Rio Branco
07 May 1950,Brazil v Paraguay,W,2-0,Copa Oswaldo Cruz
13 May 1950,Brazil v Paraguay,D,3-3,Copa Oswaldo Cruz
14 May 1950,Brazil v Uruguay,W,3-2,Copa Rio Branco
17 May 1950,Brazil v Uruguay,W,1-0,Copa Rio Branco
24 Jun 1950,Brazil v Mexico,W,4-0,FIFA World Cup
28 Jun 1950,Brazil v Switzerland,D,2-2,FIFA World Cup
01 Jul 1950,Brazil v Yugoslavia,W,2-0,FIFA World Cup
09 Jul 1950,Brazil v Sweden,W,7-1,FIFA World Cup
13 Jul 1950,Brazil v Spain,W,6-1,FIFA World Cup
16 Jul 1950,Uruguay v Brazil,L,2-1,FIFA World Cup
06 Apr 1952,Brazil v Mexico,W,2-0,Panamerican Championship
10 Apr 1952,Peru v Brazil,D,0-0,Panamerican Championship
13 Apr 1952,Brazil v Panama,W,5-0,Panamerican Championship
16 Apr 1952,Brazil v Uruguay,W,4-2,Panamerican Championship
20 Apr 1952,Chile v Brazil,W,0-3,Panamerican Championship
01 Mar 1953,Brazil v Bolivia,W,8-1,Copa America
12 Mar 1953,Brazil v Ecuador,W,2-0,Copa America
15 Mar 1953,Uruguay v Brazil,W,0-1,Copa America
19 Mar 1953,Peru v Brazil,L,1-0,Copa America
23 Mar 1953,Brazil v Chile,W,3-2,Copa America
27 Mar 1953,Paraguay v Brazil,L,2-1,Copa America
01 Apr 1953,Paraguay v Brazil,L,3-2,Copa America
28 Feb 1954,Chile v Brazil,W,0-2,FIFA World Cup
07 Mar 1954,Paraguay v Brazil,W,0-1,FIFA World Cup
14 Mar 1954,Brazil v Chile,W,1-0,FIFA World Cup
21 Mar 1954,Brazil v Paraguay,W,4-1,FIFA World Cup
16 Jun 1954,Brazil v Mexico,W,5-0,FIFA World Cup
19 Jun 1954,Brazil v Yugoslavia,D,1-1,FIFA World Cup
27 Jun 1954,Hungary v Brazil,L,4-2,FIFA World Cup
18 Sep 1955,Brazil v Chile,D,1-1,Torneo Bernardo O Higgins
20 Sep 1955,Brazil v Chile,W,2-1,Torneo Bernardo O Higgins
13 Nov 1955,Brazil v Paraguay,W,3-0,Copa Oswaldo Cruz
18 Nov 1955,Brazil v Paraguay,D,3-3,Copa Oswaldo Cruz
24 Jan 1956,Brazil v Chile,L,1-4,Copa America
29 Jan 1956,Paraguay v Brazil,D,0-0,Copa America
01 Feb 1956,Brazil v Peru,W,2-1,Copa America
05 Feb 1956,Brazil v Argentina,W,1-0,Copa America
10 Feb 1956,Uruguay v Brazil,D,0-0,Copa America
01 Mar 1956,Brazil v Chile,W,2-1,Panamerican Championship
06 Mar 1956,Brazil v Peru,W,1-0,Panamerican Championship
08 Mar 1956,Mexico v Brazil,W,1-2,Panamerican Championship
13 Mar 1956,Brazil v Costa Rica,W,7-1,Panamerican Championship
18 Mar 1956,Brazil v Argentina,D,2-2,Panamerican Championship
08 Apr 1956,Portugal v Brazil,W,0-1,International Friendly
11 Apr 1956,Switzerland v Brazil,D,1-1,International Friendly
15 Apr 1956,Austria v Brazil,W,2-3,International Friendly
21 Apr 1956,Czechoslovakia v Brazil,D,0-0,International Friendly
25 Apr 1956,Italy v Brazil,L,3-0,International Friendly
01 May 1956,Turkey v Brazil,W,0-1,International Friendly
09 May 1956,England v Brazil,L,4-2,International Friendly
12 Jun 1956,Paraguay v Brazil,W,0-2,Oswaldo Cruz
17 Jun 1956,Paraguay v Brazil,W,2-5,Oswaldo Cruz
24 Jun 1956,Brazil v Uruguay,W,2-0,Copa del Atlantico
01 Jul 1956,Brazil v Italy,W,2-0,International Friendly
08 Jul 1956,Argentina v Brazil,D,0-0,Copa del Atlantico
05 Aug 1956,Brazil v Czechoslovakia,L,0-1,International Friendly
08 Aug 1956,Brazil v Czechoslovakia,W,4-1,International Friendly
05 Dec 1956,Brazil v Argentina,L,1-2,International Friendly
13 Mar 1957,Brazil v Chile,W,4-2,Copa America
21 Mar 1957,Brazil v Ecuador,W,7-1,Copa America
24 Mar 1957,Brazil v Colombia,W,9-0,Copa America
28 Mar 1957,Uruguay v Brazil,L,3-2,Copa America
31 Mar 1957,Peru v Brazil,W,0-1,Copa America
03 Apr 1957,Argentina v Brazil,L,3-0,Copa America
13 Apr 1957,Peru v Brazil,D,1-1,FIFA World Cup
21 Apr 1957,Brazil v Peru,W,1-0,FIFA World Cup
11 Jun 1957,Brazil v Portugal,W,2-1,International Friendly
16 Jun 1957,Brazil v Portugal,W,3-0,International Friendly
07 Jul 1957,Brazil v Argentina,L,1-2,Copa Julio Roca
10 Jul 1957,Brazil v Argentina,W,2-0,Copa Julio Roca
15 Sep 1957,Chile v Brazil,L,1-0,Copa Bernardo O`Higgins
18 Sep 1957,Chile v Brazil,D,1-1,Copa Bernardo O`Higgins
04 May 1958,Brazil v Paraguay,W,5-1,Oswaldo Cruz
07 May 1958,Brazil v Paraguay,D,0-0,Oswaldo Cruz
14 May 1958,Brazil v Bulgaria,W,4-0,International Friendly
18 May 1958,Brazil v Bulgaria,W,3-1,International Friendly
08 Jun 1958,Brazil v Austria,W,3-0,FIFA World Cup
11 Jun 1958,Brazil v England,D,0-0,FIFA World Cup
15 Jun 1958,Brazil v USSR,W,2-0,FIFA World Cup
19 Jun 1958,Brazil v Wales,W,1-0,FIFA World Cup
24 Jun 1958,Brazil v France,W,5-2,FIFA World Cup
29 Jun 1958,Sweden v Brazil,W,2-5,FIFA World Cup
10 Mar 1959,Brazil v Peru,D,2-2,Copa America
15 Mar 1959,Brazil v Chile,W,3-0,Copa America
21 Mar 1959,Brazil v Bolivia,W,4-2,Copa America
26 Mar 1959,Brazil v Uruguay,W,3-1,Copa America
29 Mar 1959,Brazil v Paraguay,W,4-1,Copa America
04 Apr 1959,Argentina v Brazil,D,1-1,Copa America
13 May 1959,Brazil v England,W,2-0,International Friendly
27 Aug 1959,Venezuela v Brazil,L,5-3,*
17 Sep 1959,Brazil v Chile,W,7-0,Copa Bernardo O`Higgins
20 Sep 1959,Brazil v Chile,W,1-0,Copa Bernardo O`Higgins
05 Dec 1959,Brazil v Paraguay,W,3-2,Copa America
12 Dec 1959,Uruguay v Brazil,L,3-0,Copa America
19 Dec 1959,Ecuador v Brazil,W,1-3,Copa America
22 Dec 1959,Argentina v Brazil,L,4-1,Copa America
27 Dec 1959,Ecuador v Brazil,W,1-2,International Friendly
06 Mar 1960,Mexico v Brazil,D,2-2,Panamerican Championship
10 Mar 1960,Costa Rica v Brazil,L,3-0,Panamerican Championship
13 Mar 1960,Argentina v Brazil,L,2-1,Panamerican Championship
15 Mar 1960,Brazil v Mexico,W,2-1,Panamerican Championship
17 Mar 1960,Costa Rica v Brazil,W,0-4,Panamerican Championship
20 Mar 1960,Brazil v Argentina,W,1-0,Panamerican Championship
29 Apr 1960,Egypt v Brazil,W,0-5,International Friendly
01 May 1960,Egypt v Brazil,W,1-3,International Friendly
06 May 1960,Egypt v Brazil,W,0-3,International Friendly
10 May 1960,Staevnet v Brazil,W,3-4,U v A
25 May 1960,Argentina v Brazil,L,4-2,Copa Julio Roca
29 May 1960,Argentina v Brazil,W,1-4,Copa Julio Roca
29 Jun 1960,Brazil v Chile,W,4-0,International Friendly
03 Jul 1960,Paraguay v Brazil,W,1-2,Copa del Atlantico
09 Jul 1960,Uruguay v Brazil,L,1-0,Copa del Atlantico
12 Jul 1960,Brazil v Argentina,W,5-1,Copa del Atlantico
30 Apr 1961,Paraguay v Brazil,W,0-2,Oswaldo Cruz
03 May 1961,Paraguay v Brazil,W,2-3,Oswaldo Cruz
07 May 1961,Chile v Brazil,W,1-2,Copa Bernardo O`Higgins
11 May 1961,Chile v Brazil,W,0-1,Copa Bernardo O`Higgins
29 Jun 1961,Brazil v Paraguay,W,3-2,International Friendly
29 Jan 1962,Brazil v Paraguay,W,3-2,SA NOVOS
03 Feb 1962,Brazil v Argentina,D,0-0,SA NOVOS
05 Feb 1962,Peru v Brazil,W,1-3,SA NOVOS
21 Apr 1962,Brazil v Paraguay,W,6-0,Oswaldo Cruz
24 Apr 1962,Brazil v Paraguay,W,4-0,Oswaldo Cruz
06 May 1962,Brazil v Portugal,W,2-1,International Friendly
09 May 1962,Brazil v Portugal,W,1-0,International Friendly
12 May 1962,Brazil v Wales,W,3-1,International Friendly
16 May 1962,Brazil v Wales,W,3-1,International Friendly
30 May 1962,Brazil v Mexico,W,2-0,FIFA World Cup
02 Jun 1962,Brazil v Czechoslovakia,D,0-0,FIFA World Cup
06 Jun 1962,Brazil v Spain,W,2-1,FIFA World Cup
10 Jun 1962,Brazil v England,W,3-1,FIFA World Cup
13 Jun 1962,Chile v Brazil,W,2-4,FIFA World Cup
17 Jun 1962,Brazil v Czechoslovakia,W,3-1,FIFA World Cup
03 Mar 1963,Paraguay v Brazil,D,2-2,Oswaldo Cruz
10 Mar 1963,Brazil v Peru,W,1-0,Copa America
14 Mar 1963,Brazil v Colombia,W,5-1,Copa America
17 Mar 1963,Paraguay v Brazil,L,2-0,Copa America
24 Mar 1963,Argentina v Brazil,L,3-0,Copa America
27 Mar 1963,Brazil v Ecuador,D,2-2,Copa America
31 Mar 1963,Bolivia v Brazil,L,5-4,Copa America
13 Apr 1963,Brazil v Argentina,L,2-3,Copa Julio Roca
16 Apr 1963,Brazil v Argentina,W,5-2,Copa Julio Roca
21 Apr 1963,Portugal v Brazil,L,1-0,International Friendly
24 Apr 1963,Belgium v Brazil,L,5-1,International Friendly
28 Apr 1963,France v Brazil,W,2-3,International Friendly
02 May 1963,Netherlands v Brazil,L,1-0,International Friendly
05 May 1963,West Germany v Brazil,W,1-2,International Friendly
08 May 1963,England v Brazil,D,1-1,International Friendly
12 May 1963,Italy v Brazil,L,3-0,International Friendly
17 May 1963,Egypt v Brazil,W,0-1,International Friendly
19 May 1963,Israel v Brazil,W,0-5,International Friendly
30 May 1964,Brazil v England,W,5-1,Copa das Nacoes
03 Jun 1964,Brazil v Argentina,L,0-3,Copa das Nacoes
07 Jun 1964,Brazil v Portugal,W,4-1,Copa das Nacoes
07 Sep 1964,Brazil v Argentina,W,3-0,International Friendly
02 Jun 1965,Brazil v Belgium,W,5-0,International Friendly
06 Jun 1965,Brazil v West Germany,W,2-0,International Friendly
09 Jun 1965,Brazil v Argentina,D,0-0,International Friendly
17 Jun 1965,Algeria v Brazil,W,0-3,International Friendly
24 Jun 1965,Portugal v Brazil,D,0-0,International Friendly
30 Jun 1965,Sweden v Brazil,W,1-2,International Friendly
04 Jul 1965,USSR v Brazil,W,0-3,International Friendly
07 Sep 1965,Brazil v Uruguay,W,3-0,International Friendly
21 Nov 1965,Brazil v USSR,D,2-2,International Friendly
21 Nov 1965,Brazil v Hungary,W,5-3,*
17 Apr 1966,Chile v Brazil,W,0-1,Copa Bernardo O`Higgins
20 Apr 1966,Chile v Brazil,L,2-1,Copa Bernardo O`Higgins
14 May 1966,Brazil v Wales,W,3-1,International Friendly
15 May 1966,Brazil v Chile,D,1-1,Copa Bernardo O`Higgins
19 May 1966,Brazil v Chile,W,1-0,Copa Bernardo O`Higgins
04 Jun 1966,Brazil v Peru,W,4-0,International Friendly
08 Jun 1966,Brazil v Peru,W,3-1,International Friendly
08 Jun 1966,Brazil v Poland,W,2-1,International Friendly
12 Jun 1966,Brazil v Czechoslovakia,W,2-1,International Friendly
15 Jun 1966,Brazil v Czechoslovakia,D,2-2,International Friendly
25 Jun 1966,Scotland v Brazil,D,1-1,International Friendly
12 Jul 1966,Brazil v Bulgaria,W,2-0,FIFA World Cup
15 Jul 1966,Brazil v Hungary,L,1-3,FIFA World Cup
19 Jul 1966,Brazil v Portugal,L,1-3,FIFA World Cup
30 Jun 1966,Sweden v Brazil,W,2-3,International Friendly
25 Jun 1967,Uruguay v Brazil,D,0-0,Copa Rio Branco
28 Jun 1967,Uruguay v Brazil,D,2-2,Copa Rio Branco
01 Jul 1967,Uruguay v Brazil,D,1-1,Copa Rio Branco
19 Sep 1967,Chile v Brazil,W,0-1,International Friendly
09 Jun 1968,Brazil v Uruguay,W,2-0,Copa Rio Branco
12 Jun 1968,Brazil v Uruguay,W,4-0,Copa Rio Branco
16 Jun 1968,Germany v Brazil,L,2-1,International Friendly
20 Jun 1968,Poland v Brazil,W,3-6,International Friendly
23 Jun 1968,Czechoslovakia v Brazil,L,3-2,International Friendly
25 Jun 1968,Yugoslavia v Brazil,W,0-2,International Friendly
30 Jun 1968,Portugal v Brazil,W,0-2,International Friendly
07 Jul 1968,Mexico v Brazil,W,0-2,OT XI v A
10 Jul 1968,Mexico v Brazil,L,2-1,International Friendly
14 Jul 1968,Peru v Brazil,W,3-4,International Friendly
17 Jul 1968,Peru v Brazil,W,0-4,International Friendly
25 Jul 1968,Paraguay v Brazil,W,0-4,Copa Oswaldo Cruz
28 Jul 1968,Paraguay v Brazil,L,1-0,Copa Oswaldo Cruz
07 Aug 1968,Brazil v Argentina,W,4-1,International Friendly
11 Aug 1968,Brazil v Argentina,W,3-2,International Friendly
31 Oct 1968,Brazil v Mexico,L,1-2,International Friendly
03 Nov 1968,Brazil v Mexico,W,2-1,International Friendly
06 Nov 1968,Brazil v Rest of the World,W,2-1,10th Anniversary Brazil
14 Dec 1968,Brazil v West Germany,D,2-2,International Friendly
17 Dec 1968,Brazil v Yugoslavia,D,3-3,International Friendly
07 Apr 1969,Brazil v Peru,W,2-1,International Friendly
09 Apr 1969,Brazil v Peru,W,3-2,International Friendly
12 Jun 1969,Brazil v England,W,2-1,International Friendly
06 Aug 1969,Colombia v Brazil,W,0-2,FIFA World Cup
10 Aug 1969,Venezuela v Brazil,W,0-5,FIFA World Cup
17 Aug 1969,Paraguay v Brazil,W,0-3,FIFA World Cup
21 Aug 1969,Brazil v Colombia,W,6-2,FIFA World Cup
24 Aug 1969,Brazil v Venezuela,W,6-0,FIFA World Cup
31 Aug 1969,Brazil v Paraguay,W,1-0,FIFA World Cup
04 Mar 1970,Brazil v Argentina,L,0-2,International Friendly
08 Mar 1970,Brazil v Argentina,W,2-1,International Friendly
22 Mar 1970,Brazil v Chile,W,5-0,International Friendly
26 Mar 1970,Brazil v Chile,W,2-1,International Friendly
12 Apr 1970,Brazil v Paraguay,D,0-0,International Friendly
26 Apr 1970,Brazil v Bulgaria,D,0-0,A v B
29 Apr 1970,Brazil v Austria,W,1-0,International Friendly
03 Jun 1970,Czechoslovakia v Brazil,W,1-4,FIFA World Cup
07 Jun 1970,England v Brazil,W,0-1,FIFA World Cup
10 Jun 1970,Brazil v Romania,W,3-2,FIFA World Cup
14 Jun 1970,Brazil v Peru,W,4-2,FIFA World Cup
17 Jun 1970,Uruguay v Brazil,W,1-3,FIFA World Cup
21 Jun 1970,Brazil v Italy,W,4-1,FIFA World Cup
30 Sep 1970,Brazil v Mexico,W,2-1,International Friendly
04 Oct 1970,Chile v Brazil,W,1-5,International Friendly
11 Jul 1971,Brazil v Austria,D,1-1,International Friendly
14 Jul 1971,Brazil v Czechoslovakia,W,1-0,International Friendly
18 Jul 1971,Brazil v Yugoslavia,D,2-2,International Friendly
21 Jul 1971,Brazil v Hungary,D,0-0,International Friendly
24 Jul 1971,Brazil v Paraguay,W,1-0,International Friendly
28 Jul 1971,Argentina v Brazil,D,1-1,Copa Julio Roca
31 Jul 1971,Argentina v Brazil,D,2-2,Copa Julio Roca
26 Apr 1972,Brazil v Paraguay,W,3-2,International Friendly
28 Jun 1972,Brazil v Czechoslovakia,D,0-0,Independence
02 Jul 1972,Brazil v Yugoslavia,W,3-0,Independence
05 Jul 1972,Brazil v Scotland,W,1-0,Independence
09 Jul 1972,Brazil v Portugal,W,1-0,Independence
27 May 1973,Brazil v Bolivia,W,5-0,International Friendly
03 Jun 1973,Algeria v Brazil,W,0-2,International Friendly
06 Jun 1973,Tunisia v Brazil,W,1-4,International Friendly
09 Jun 1973,Italy v Brazil,L,2-0,International Friendly
13 Jun 1973,Austria v Brazil,D,1-1,International Friendly
16 Jun 1973,West Germany v Brazil,W,0-1,International Friendly
21 Jun 1973,USSR v Brazil,W,0-1,International Friendly
25 Jun 1973,Sweden v Brazil,L,1-0,International Friendly
30 Jun 1973,Scotland v Brazil,W,0-1,International Friendly
03 Jul 1973,All Ireland v Brazil,W,3-4,All Ireland Match
31 Mar 1974,Brazil v Mexico,D,1-1,International Friendly
07 Apr 1974,Brazil v Czechoslovakia,W,1-0,International Friendly
14 Apr 1974,Brazil v Bulgaria,W,1-0,International Friendly
17 Apr 1974,Brazil v Romania,W,2-0,International Friendly
21 Apr 1974,Brazil v Haiti,W,4-0,International Friendly
28 Apr 1974,Brazil v Greece,D,0-0,International Friendly
01 May 1974,Brazil v Austria,D,0-0,International Friendly
05 May 1974,Brazil v Republic of Ireland,W,2-1,International Friendly
12 May 1974,Brazil v Paraguay,W,2-0,International Friendly
13 Jun 1974,Brazil v Yugoslavia,D,0-0,FIFA World Cup
18 Jun 1974,Brazil v Scotland,D,0-0,FIFA World Cup
22 Jun 1974,Brazil v Zaire,W,3-0,FIFA World Cup
26 Jun 1974,Brazil v German Democratic Republic,W,1-0,FIFA World Cup
30 Jun 1974,Argentina v Brazil,W,1-2,FIFA World Cup
03 Jul 1974,Brazil v Netherlands,L,0-2,FIFA World Cup
06 Jul 1974,Brazil v Poland,L,0-1,FIFA World Cup
30 Jul 1975,Venezuela v Brazil,W,0-4,Copa America
06 Aug 1975,Brazil v Argentina,W,2-1,Copa America
13 Aug 1975,Brazil v Venezuela,W,6-0,Copa America
16 Aug 1975,Argentina v Brazil,W,0-1,Copa America
30 Sep 1975,Brazil v Peru,L,1-3,Copa America
04 Oct 1975,Peru v Brazil,W,0-2,Copa America
25 Feb 1976,Uruguay v Brazil,W,1-2,Copa del Atlantico
27 Feb 1976,Argentina v Brazil,W,1-2,Copa del Atlantico
07 Apr 1976,Paraguay v Brazil,D,1-1,Copa del Atlantico
28 Apr 1976,Brazil v Uruguay,W,2-1,Copa del Atlantico
19 May 1976,Brazil v Argentina,W,2-0,Copa del Atlantico
23 May 1976,Brazil v England,W,1-0,Bi-Centenary
31 May 1976,Brazil v Italy,W,4-1,Bi-Centenary
04 Jun 1976,Mexico v Brazil,W,0-3,International Friendly
09 Jun 1976,Brazil v Paraguay,W,3-1,Oswaldo Cruz
13 Sep 1976,Panama v Brazil,W,0-2,International Friendly
01 Dec 1976,Brazil v USSR,W,2-0,International Friendly
23 Jan 1977,Brazil v Bulgaria,W,1-0,International Friendly
20 Feb 1977,Colombia v Brazil,D,0-0,FIFA World Cup
09 Mar 1977,Brazil v Colombia,W,6-0,FIFA World Cup
13 Mar 1977,Paraguay v Brazil,W,0-1,FIFA World Cup
20 Mar 1977,Brazil v Paraguay,D,1-1,FIFA World Cup
08 Jun 1977,Brazil v England,D,0-0,International Friendly
12 Jun 1977,Brazil v West Germany,D,1-1,International Friendly
19 Jun 1977,Brazil v Poland,W,3-1,International Friendly
23 Jun 1977,Brazil v Scotland,W,2-0,International Friendly
26 Jun 1977,Brazil v Yugoslavia,D,0-0,International Friendly
30 Jun 1977,Brazil v France,D,2-2,International Friendly
10 Jul 1977,Brazil v Peru,W,1-0,FIFA World Cup
14 Jul 1977,Brazil v Bolivia,W,8-0,FIFA World Cup
01 Apr 1978,France v Brazil,L,1-0,International Friendly
05 Apr 1978,West Germany v Brazil,W,0-1,International Friendly
19 Apr 1978,England v Brazil,D,1-1,International Friendly
01 May 1978,Brazil v Peru,W,3-0,International Friendly
17 May 1978,Brazil v Czechoslovakia,W,2-0,International Friendly
03 Jun 1978,Brazil v Sweden,D,1-1,FIFA World Cup
07 Jun 1978,Brazil v Spain,D,0-0,FIFA World Cup
11 Jun 1978,Austria v Brazil,W,0-1,FIFA World Cup
14 Jun 1978,Brazil v Peru,W,3-0,FIFA World Cup
18 Jun 1978,Argentina v Brazil,D,0-0,FIFA World Cup
21 Jun 1978,Brazil v Poland,W,3-1,FIFA World Cup
24 Jun 1978,Brazil v Italy,W,2-1,FIFA World Cup
18 Mar 1979,Qatar v Brazil,W,1-6,International Friendly
17 May 1979,Brazil v Paraguay,W,6-0,International Friendly
31 May 1979,Brazil v Uruguay,W,5-1,International Friendly
26 Jul 1979,Bolivia v Brazil,L,2-1,Copa America
02 Aug 1979,Brazil v Argentina,W,2-1,Copa America
16 Aug 1979,Brazil v Bolivia,W,2-0,Copa America
23 Aug 1979,Argentina v Brazil,D,2-2,Copa America
24 Oct 1979,Paraguay v Brazil,L,2-1,Copa America
31 Oct 1979,Brazil v Paraguay,D,2-2,Copa America
07 Nov 1979,United Arab Emirates v Brazil,W,1-2,International Friendly
09 Nov 1979,Bahrain v Brazil,W,0-2,International Friendly
08 Jun 1980,Brazil v Mexico,W,2-0,International Friendly
15 Jun 1980,Brazil v USSR,L,1-2,International Friendly
24 Jun 1980,Brazil v Chile,W,2-1,International Friendly
29 Jun 1980,Brazil v Poland,D,1-1,International Friendly
27 Aug 1980,Brazil v Uruguay,W,1-0,International Friendly
25 Sep 1980,Paraguay v Brazil,W,1-2,International Friendly
30 Oct 1980,Brazil v Paraguay,W,6-0,International Friendly
