Date,Profit,order_quantity,transaction_count
2012-02-23,3438,10,5
2012-02-24,9611,18,9
2012-02-25,5204,10,5
2012-02-26,13821,24,12
2012-02-27,4631,6,3
2012-02-28,10095,10,5
2012-02-29,0,0,0
2012-03-01,5825,12,6
2012-03-02,6710,14,7
2012-03-03,10913,18,9
2012-03-04,8075,16,8
2012-03-05,1386,6,3
2012-03-06,5431,18,9
2012-03-07,11629,18,9
2012-03-08,4088,8,4
2012-03-09,7956,12,6
2012-03-10,3511,4,2
2012-03-11,8180,12,6
2012-03-12,3629,10,5
2012-03-13,11958,20,10
2012-03-14,6410,8,4
2012-03-15,12338,20,10
2012-03-16,8857,10,5
2012-03-17,9471,18,9
2012-03-18,10614,16,8
2012-03-19,3499,8,4
2012-03-20,8792,18,9
2012-03-21,2790,8,4
2012-03-22,6059,12,6
2012-03-23,5791,10,5
2012-03-24,18415,24,12
2012-03-25,4760,10,5
2012-03-26,14294,18,9
2012-03-27,4339,6,3
2012-03-28,10547,16,8
2012-03-29,9517,12,6
2012-03-30,3956,8,4
2012-03-31,5344,8,4
2012-04-01,3741,10,5
2012-04-02,2545,6,3
2012-04-03,5989,18,9
2012-04-04,7575,14,7
2012-04-05,4355,10,5
2012-04-06,6409,10,5
2012-04-07,13328,18,9
2012-04-08,4050,6,3
2012-04-09,8118,10,5
2012-04-10,6657,10,5
2012-04-11,6861,12,6
2012-04-12,16050,24,12
2012-04-13,3274,8,4
2012-04-14,5989,6,3
2012-04-15,12081,26,13
2012-04-16,11124,14,7
2012-04-17,13834,18,9
2012-04-18,4504,14,7
2012-04-19,5777,8,4
2012-04-20,10831,22,11
2012-04-21,4323,10,5
2012-04-22,3426,8,4
2012-04-23,9160,20,10
2012-04-24,2334,8,4
2012-04-25,11086,16,8
2012-04-26,5891,8,4
2012-04-27,12180,18,9
2012-04-28,4674,14,7
2012-04-29,13044,22,11
2012-04-30,17553,26,13
2012-05-01,14104,24,12
2012-05-02,6896,10,5
2012-05-03,5514,10,5
2012-05-04,10633,22,11
2012-05-05,7629,10,5
2012-05-06,7653,18,9
2012-05-07,7472,10,5
2012-05-08,15103,20,10
2012-05-09,4422,12,6
2012-05-10,3059,6,3
2012-05-11,5746,8,4
2012-05-12,10473,18,9
2012-05-13,12988,26,13
2012-05-14,8555,12,6
2012-05-15,10385,14,7
2012-05-16,12200,22,11
2012-05-17,9748,18,9
2012-05-18,5384,16,8
2012-05-19,8836,12,6
2012-05-20,5127,12,6
2012-05-21,7484,12,6
2012-05-22,5244,12,6
2012-05-23,10586,14,7
2012-05-24,11984,18,9
2012-05-25,7664,18,9
2012-05-26,6918,12,6
2012-05-27,4705,10,5
2012-05-28,5234,10,5
2012-05-29,2528,2,1
2012-05-30,7825,14,7
2012-05-31,3157,6,3
2012-06-01,2839,8,4
2012-06-02,8753,24,12
2012-06-03,2173,6,3
2012-06-04,11066,14,7
2012-06-05,9486,12,6
2012-06-06,13348,14,7
2012-06-07,7573,16,8
2012-06-08,8079,16,8
2012-06-09,3396,10,5
2012-06-10,6090,16,8
2012-06-11,4591,10,5
2012-06-12,12943,24,12
2012-06-13,3079,8,4
2012-06-14,8120,8,4
2012-06-15,6543,12,6
2012-06-16,2568,4,2
2012-06-17,5039,12,6
2012-06-18,8408,22,11
2012-06-19,15488,26,13
2012-06-20,7677,14,7
2012-06-21,7986,18,9
2012-06-22,6350,10,5
2012-06-23,15911,30,15
2012-06-24,9077,14,7
2012-06-25,5053,10,5
2012-06-26,6741,14,7
2012-06-27,7122,18,9
2012-06-28,1908,10,5
2012-06-29,9555,16,8
2012-06-30,9073,12,6
2012-07-01,6396,16,8
2012-07-02,1343,6,3
2012-07-03,14945,26,13
2012-07-04,7485,18,9
2012-07-05,11577,20,10
2012-07-06,6759,22,11
2012-07-07,7993,18,9
2012-07-08,8089,12,6
2012-07-09,5686,10,5
2012-07-10,7962,14,7
2012-07-11,12685,24,12
2012-07-12,6704,16,8
2012-07-13,16326,24,12
2012-07-14,7306,20,10
2012-07-15,2980,8,4
2012-07-16,4488,12,6
2012-07-17,12360,22,11
2012-07-18,11154,14,7
2012-07-19,7185,16,8
2012-07-20,12353,20,10
2012-07-21,11938,20,10
2012-07-22,9380,14,7
2012-07-23,7900,14,7
2012-07-24,7866,12,6
2012-07-25,9181,18,9
2012-07-26,5925,10,5
2012-07-27,14661,20,10
2012-07-28,5121,10,5
2012-07-29,5223,12,6
2012-07-30,17536,20,10
2012-07-31,11687,18,9
2012-08-01,7187,18,9
2012-08-02,12376,16,8
2012-08-03,4727,12,6
2012-08-04,9731,18,9
2012-08-05,4749,14,7
2012-08-06,11054,24,12
2012-08-07,11619,22,11
2012-08-08,10381,16,8
2012-08-09,9459,16,8
2012-08-10,2657,8,4
2012-08-11,6573,10,5
2012-08-12,9737,18,9
2012-08-13,15192,24,12
2012-08-14,14545,20,10
2012-08-15,12436,24,12
2012-08-16,5907,10,5
2012-08-17,10685,20,10
2012-08-18,6077,16,8
2012-08-19,13907,22,11
2012-08-20,14031,24,12
2012-08-21,8352,20,10
2012-08-22,7492,20,10
2012-08-23,3838,10,5
2012-08-24,10117,22,11
2012-08-25,10797,22,11
2012-08-26,12580,26,13
2012-08-27,19388,22,11
2012-08-28,10223,16,8
2012-08-29,7327,12,6
2012-08-30,5844,16,8
2012-08-31,11620,24,12
2012-09-01,2639,4,2
2012-09-02,8750,14,7
2012-09-03,7253,16,8
2012-09-04,5262,12,6
2012-09-05,3314,8,4
2012-09-06,2405,8,4
2012-09-07,822,4,2
2012-09-08,11821,18,9
2012-09-09,9212,18,9
2012-09-10,13068,18,9
2012-09-11,8415,16,8
2012-09-12,6488,14,7
2012-09-13,10725,22,11
2012-09-14,12104,20,10
2012-09-15,5128,8,4
2012-09-16,9617,10,5
2012-09-17,6568,10,5
2012-09-18,14349,18,9
2012-09-19,5208,18,9
2012-09-20,5550,14,7
2012-09-21,7325,10,5
2012-09-22,3018,10,5
2012-09-23,10890,14,7
2012-09-24,9123,18,9
2012-09-25,6670,12,6
2012-09-26,9739,20,10
2012-09-27,3931,6,3
2012-09-28,2278,4,2
2012-09-29,10360,14,7
2012-09-30,8713,18,9
2012-10-01,9933,16,8
2012-10-02,12176,16,8
2012-10-03,6962,14,7
2012-10-04,8309,14,7
2012-10-05,3539,6,3
2012-10-06,6119,14,7
2012-10-07,9298,14,7
2012-10-08,6775,14,7
2012-10-09,2548,6,3
2012-10-10,3032,8,4
2012-10-11,5491,14,7
2012-10-12,9236,24,12
2012-10-13,11122,26,13
2012-10-14,4858,12,6
2012-10-15,7152,12,6
2012-10-16,8682,18,9
2012-10-17,8957,12,6
2012-10-18,8580,14,7
2012-10-19,12942,24,12
2012-10-20,9855,18,9
2012-10-21,11556,20,10
2012-10-22,7480,14,7
2012-10-23,8001,14,7
2012-10-24,11504,18,9
2012-10-25,7074,14,7
2012-10-26,7079,18,9
2012-10-27,1106,6,3
2012-10-28,4123,12,6
2012-10-29,5299,12,6
2012-10-30,14134,24,12
2012-10-31,3266,10,5
2012-11-01,3189,12,6
2012-11-02,3003,8,4
2012-11-03,9191,12,6
2012-11-04,1092,2,1
2012-11-05,4618,12,6
2012-11-06,7004,18,9
2012-11-07,5320,10,5
2012-11-08,5635,14,7
2012-11-09,4462,8,4
2012-11-10,6565,14,7
2012-11-11,10778,22,11
2012-11-12,4081,12,6
2012-11-13,6191,8,4
2012-11-14,5416,10,5
2012-11-15,4021,6,3
2012-11-16,7882,16,8
2012-11-17,7346,12,6
2012-11-18,4510,14,7
2012-11-19,4113,8,4
2012-11-20,10946,18,9
2012-11-21,9480,14,7
2012-11-22,4753,8,4
2012-11-23,3321,10,5
2012-11-24,12635,20,10
2012-11-25,8996,16,8
2012-11-26,8955,12,6
2012-11-27,9065,28,14
2012-11-28,4645,12,6
2012-11-29,4011,12,6
2012-11-30,10547,18,9
2012-12-01,12795,22,11
2012-12-02,4626,18,9
2012-12-03,16531,32,16
2012-12-04,2359,6,3
2012-12-05,18850,26,13
2012-12-06,8407,12,6
2012-12-07,19129,34,17
2012-12-08,8810,22,11
2012-12-09,9402,14,7
2012-12-10,12058,20,10
2012-12-11,13761,28,14
2012-12-12,18316,34,17
2012-12-13,11101,24,12
2012-12-14,18111,32,16
2012-12-15,6837,10,5
2012-12-16,11876,22,11
2012-12-17,10554,22,11
2012-12-18,10316,20,10
2012-12-19,16369,28,14
2012-12-20,17994,28,14
2012-12-21,2903,6,3
2012-12-22,13943,24,12
2012-12-23,13433,24,12
2012-12-24,13396,26,13
2012-12-25,7890,16,8
2012-12-26,7836,16,8
2012-12-27,11004,18,9
2012-12-28,8999,20,10
2012-12-29,16446,28,14
2012-12-30,9345,14,7
2012-12-31,7558,14,7
2013-01-01,3843,8,8
2013-01-02,8024,12,12
2013-01-03,5061,7,7
2013-01-04,2287,8,8
2013-01-05,4502,7,7
2013-01-06,653,2,2
2013-01-07,4761,9,9
2013-01-08,5671,10,10
2013-01-09,5049,9,9
2013-01-10,4802,11,11
2013-01-11,4843,7,7
2013-01-12,5024,7,7
2013-01-13,6380,12,12
2013-01-14,4664,6,6
2013-01-15,6988,10,10
2013-01-16,7968,11,11
2013-01-17,5606,7,7
2013-01-18,4877,7,7
2013-01-19,3172,5,5
2013-01-20,3231,7,7
2013-01-21,3066,7,7
2013-01-22,6244,10,10
2013-01-23,6346,14,14
2013-01-24,5631,7,7
2013-01-25,2915,4,4
2013-01-26,5521,10,10
2013-01-27,1808,3,3
2013-01-28,3409,5,5
2013-01-29,3258,8,8
2013-01-30,3058,6,6
2013-01-31,4616,8,8
2013-02-01,6016,10,10
2013-02-02,5364,10,10
2013-02-03,4610,9,9
2013-02-04,8692,17,17
2013-02-05,6716,8,8
2013-02-06,8688,14,14
2013-02-07,5039,8,8
2013-02-08,5784,11,11
2013-02-09,7285,11,11
2013-02-10,5198,7,7
2013-02-11,2433,4,4
2013-02-12,6014,10,10
2013-02-13,5440,11,11
2013-02-14,7258,11,11
2013-02-15,5285,11,11
2013-02-16,2926,4,4
2013-02-17,6106,12,12
2013-02-18,6195,13,13
2013-02-19,5814,10,10
2013-02-20,4541,10,10
2013-02-21,10006,13,13
2013-02-22,5332,11,11
2013-02-23,523,3,3
2013-02-24,8860,11,11
2013-02-25,8259,15,15
2013-02-26,4091,7,7
2013-02-27,2353,3,3
2013-02-28,5111,8,8
2013-03-01,5808,9,9
2013-03-02,7458,11,11
2013-03-03,2483,6,6
2013-03-04,2483,6,6
2013-03-05,9635,17,17
2013-03-06,3716,6,6
2013-03-07,4489,9,9
2013-03-08,7460,14,14
2013-03-09,3187,5,5
2013-03-10,2159,5,5
2013-03-11,4321,8,8
2013-03-12,9827,19,19
2013-03-13,4623,7,7
2013-03-14,5824,9,9
2013-03-15,2587,5,5
2013-03-16,3046,7,7
2013-03-17,5103,9,9
2013-03-18,8969,15,15
2013-03-19,6958,12,12
2013-03-20,7123,11,11
2013-03-21,2227,5,5
2013-03-22,5182,7,7
2013-03-23,2115,6,6
2013-03-24,4516,5,5
2013-03-25,3711,4,4
2013-03-26,4775,8,8
2013-03-27,2992,4,4
2013-03-28,5754,13,13
2013-03-29,6693,10,10
2013-03-30,5828,10,10
2013-03-31,3655,10,10
2013-04-01,4987,11,11
2013-04-02,6598,13,13
2013-04-03,2504,5,5
2013-04-04,7395,12,12
2013-04-05,6164,10,10
2013-04-06,2751,5,5
2013-04-07,5651,11,11
2013-04-08,6131,13,13
2013-04-09,5586,10,10
2013-04-10,4597,6,6
2013-04-11,7443,13,13
2013-04-12,4230,7,7
2013-04-13,8287,18,18
2013-04-14,4224,7,7
2013-04-15,5219,10,10
2013-04-16,4633,7,7
2013-04-17,7277,16,16
2013-04-18,4623,11,11
2013-04-19,4341,7,7
2013-04-20,4279,9,9
2013-04-21,2406,5,5
2013-04-22,2577,6,6
2013-04-23,2273,6,6
2013-04-24,8887,15,15
2013-04-25,8082,15,15
2013-04-26,3957,9,9
2013-04-27,4674,11,11
2013-04-28,4838,8,8
2013-04-29,3323,7,7
2013-04-30,5866,11,11
2013-05-01,6883,13,13
2013-05-02,7257,11,11
2013-05-03,6264,15,15
2013-05-04,6554,9,9
2013-05-05,8472,14,14
2013-05-06,10973,15,15
2013-05-07,4891,9,9
2013-05-08,8626,15,15
2013-05-09,4853,8,8
2013-05-10,4078,6,6
2013-05-11,8650,12,12
2013-05-12,7472,13,13
2013-05-13,3424,9,9
2013-05-14,5165,12,12
2013-05-15,4775,9,9
2013-05-16,3527,8,8
2013-05-17,3650,8,8
2013-05-18,1598,2,2
2013-05-19,5908,7,7
2013-05-20,5946,10,10
2013-05-21,4327,10,10
2013-05-22,7181,12,12
2013-05-23,7702,12,12
2013-05-24,10632,16,16
2013-05-25,4239,7,7
2013-05-26,4761,10,10
2013-05-27,6684,10,10
2013-05-28,6530,12,12
2013-05-29,6767,9,9
2013-05-30,8149,15,15
2013-05-31,10421,17,17
2013-06-01,5804,15,15
2013-06-02,7607,13,13
2013-06-03,4211,9,9
2013-06-04,4068,9,9
2013-06-05,3844,8,8
2013-06-06,4963,11,11
2013-06-07,6572,11,11
2013-06-08,11253,17,17
2013-06-09,4397,7,7
2013-06-10,8532,14,14
2013-06-11,5154,10,10
2013-06-12,6135,11,11
2013-06-13,6461,10,10
2013-06-14,6569,11,11
2013-06-15,6337,14,14
2013-06-16,2981,7,7
2013-06-17,6777,10,10
2013-06-18,4109,8,8
2013-06-19,8484,14,14
2013-06-20,6600,10,10
2013-06-21,8676,16,16
2013-06-22,3563,6,6
2013-06-23,4116,9,9
2013-06-24,6193,11,11
2013-06-25,3685,9,9
2013-06-26,4493,8,8
2013-06-27,5801,13,13
2013-06-28,5755,13,13
2013-06-29,5546,7,7
2013-06-30,6393,10,10
2013-07-01,11431,332,35
2013-07-02,12601,502,42
2013-07-03,17149,597,64
2013-07-04,23221,528,58
2013-07-05,11308,367,39
2013-07-06,6694,273,24
2013-07-07,15694,470,45
2013-07-08,12746,389,38
2013-07-09,13862,549,58
2013-07-10,11865,356,34
2013-07-11,19638,806,69
2013-07-12,9848,463,47
2013-07-13,15373,430,44
2013-07-14,12009,327,39
2013-07-15,18372,699,62
2013-07-16,11987,370,40
2013-07-17,14256,394,42
2013-07-18,6681,132,21
2013-07-19,9953,354,37
2013-07-20,16938,742,76
2013-07-21,8553,304,25
2013-07-22,14189,484,45
2013-07-23,13700,321,34
2013-07-24,40776,941,85
2013-07-25,11062,442,39
2013-07-26,17337,419,44
2013-07-27,9016,413,42
2013-07-28,10031,394,39
2013-07-29,22078,585,64
2013-07-30,8758,293,31
2013-07-31,17813,501,49
2013-08-01,18468,1471,110
2013-08-02,19281,1517,106
2013-08-03,27881,1689,134
2013-08-04,21040,1312,100
2013-08-05,17395,1403,92
2013-08-06,21237,1442,106
2013-08-07,27145,1839,144
2013-08-08,31837,2393,180
2013-08-09,26551,1811,135
2013-08-10,14911,1229,88
2013-08-11,21381,1293,99
2013-08-12,30971,1847,148
2013-08-13,27141,1813,133
2013-08-14,24285,1862,128
2013-08-15,14018,1375,96
2013-08-16,28981,1968,135
2013-08-17,28166,1756,124
2013-08-18,26786,1749,137
2013-08-19,30598,2086,149
2013-08-20,17513,1185,101
2013-08-21,17199,1575,119
2013-08-22,15209,888,64
2013-08-23,20589,1228,89
2013-08-24,43617,2266,166
2013-08-25,28665,2126,152
2013-08-26,26912,1551,123
2013-08-27,17676,1575,118
2013-08-28,27656,1823,130
2013-08-29,29595,2189,153
2013-08-30,25381,1819,134
2013-08-31,23145,1534,126
2013-09-01,19786,1078,84
2013-09-02,29452,1837,140
2013-09-03,27924,1534,118
2013-09-04,25739,1942,142
2013-09-05,29640,1483,113
2013-09-06,23638,1466,109
2013-09-07,30564,1983,138
2013-09-08,27568,1709,141
2013-09-09,34648,2150,154
2013-09-10,26890,1604,121
2013-09-11,20953,942,87
2013-09-12,35682,2264,163
2013-09-13,34790,1915,168
2013-09-14,28887,1751,132
2013-09-15,25771,1800,136
2013-09-16,21059,1687,111
2013-09-17,28240,1883,134
2013-09-18,30925,2082,152
2013-09-19,41086,2184,173
2013-09-20,29790,1887,139
